What is your age?,Current educational position?,Gender?,Your  current CGPA?,Your Higher Secondary School(H. SC) or A level or equivalent result?,At what age you had started playing games?,Do you play games on mobile or pc?,When you go to sleep?,Do you attend your morning class regularly?,The average time you spend playing games?,Which type of game you addict more?,Do you read newspaper?,Which type of game you played most?,How many time you spend with family and friend?,How you fill when you can not play game in whole day?,How you fill to complete game level?,If you didn't finish games last level what is your feeling?,Do you fill Fatigue?,Do you play games for stress relief?,Are you wearing glasses?
21,Bachelor Level,Male,4,5,10,"Mobile, PC",2:00:00 AM,Yes,4,"FIFA, PES, Valorant",Not regular,Non Paid,3,Bore,Excited,Excited to complete level,No,Yes,Yes
22,Bachelor Level,Male,4,5,11,PC,1:00:00 AM,Yes,1,CALL OF DUTY,Not regular,Paid,15,Positive,Excited,Excited to complete level,Yes,No,No
23,Bachelor Level,Male,3.5,4.5,18,Mobile,3:00:00 AM,Yes,3,GENSHIN IMPACT,Not regular,Non Paid,1,Positive,Excited,Excited to complete level,No,Yes,No
21,Bachelor Level,Male,3.75,4.92,10,Mobile,11:00:00 PM,Yes,1,CR,Not regular,Non Paid,1,Positive,Excited,No feeling,No,No,Yes
21,Bachelor Level,Male,3.5,5,15,"Mobile, PC",1:00:00 AM,Yes,2,"FIFA, PUBG, PES, CALL OF DUTY",Not regular,Non Paid,8,Positive,Excited,Excited to complete level,No,No,Yes
21,Bachelor Level,Male,3,5,11,Mobile,2:02:00 AM,No,5,"FREE FIRE, PES",Not regular,Paid,1,Depressed,Excited,Excited to complete level,No,Yes,No
21,Bachelor Level,Male,3.75,5,12,"Mobile, PC",1:00:00 AM,Yes,3,"FIFA, COC, CALL OF DUTY,",Not regular,Non Paid,5,Upset,Excited,Excited to complete level,No,Yes,Yes
20,Bachelor Level,Male,3.5,5,18,Mobile,12:00:00 AM,Yes,2,FIFA,Not regular,Non Paid,7,Positive,Excited,Excited to complete level,Yes,Yes,No
25,Bachelor Level,Male,2,5,14,Mobile,2:00:00 AM,No,2,FIFA,Not regular,Non Paid,6,Positive,Excited,No feeling,Yes,No,No
22,Bachelor Level,Male,3.5,3.33,16,"Mobile, PC",2:00:00 AM,No,0,PUBG,Not regular,Paid,3,Depressed,Excited,Excited to complete level,Yes,Yes,Yes
22,Bachelor Level,Male,3.5,4.8,16,Mobile,3:25:00 AM,No,3,PES,Regular,Non Paid,2,Depressed,Excited,Excited to complete level,No,Yes,Yes
21,Bachelor Level,Male,3.68,5,15,Mobile,3:30:00 AM,Yes,2,"PUBG, COC, PES, CALL OF DUTY",Not regular,Non Paid,10,Positive,Excited,Stressed,No,Yes,No
23,Bachelor Level,Female,3.99,4.5,18,Mobile,1:00:00 AM,Yes,1,Common,Not regular,Non Paid,4,Depressed,Bored,No feeling,No,Yes,No
23,Bachelor Level,Male,3.93,5,14,Mobile,3:30:00 AM,Yes,5,"PUBG, COC, CALL OF DUTY",Not regular,Non Paid,7,Normal,Excited,Excited to complete level,No,Yes,Yes
22,Bachelor Level,Male,3.8,4,17,"Mobile, PC",2:00:00 AM,Yes,2,CALL OF DUTY,Not regular,Non Paid,2,Positive,Bored,No feeling,Yes,Yes,No
22,Bachelor Level,Male,3.61,4.67,18,Mobile,7:00:00 AM,Yes,2,FIFA,Not regular,Non Paid,3,Angry,Bored,Excited to complete level,No,No,No
22,Bachelor Level,Male,3.2,4.92,16,Mobile,2:00:00 AM,Yes,2,"PUBG, PES",Not regular,Non Paid,3,Positive,Excited,No feeling,Yes,No,No
21,Bachelor Level,Female,3.49,4.17,14,"Mobile, PC",12:00:00 AM,Yes,1,Candy crush,Not regular,Non Paid,2,Positive,Excited,Excited to complete level,Yes,No,No
23,Bachelor Level,Male,2.93,4.71,14,Mobile,1:00:00 AM,Yes,2,"PUBG, Rpg, adventure type game most of",Not regular,Non Paid,2,Not addicted type,Excited,Excited to complete level,No,Yes,No
22,Bachelor Level,Male,3.79,5,12,Mobile,2:00:00 AM,Yes,2,"FIFA, PUBG, FREE FIRE",Not regular,Non Paid,1,Positive,Excited,No feeling,Yes,Yes,No
23,Bachelor Level,Male,2.8,2.92,17,Mobile,12:00:00 AM,Yes,1,PUBG,Not regular,Non Paid,3,Positive,Bored,No feeling,No,Yes,No
20,Bachelor Level,Female,3.5,5,12,Mobile,12:00:00 AM,Yes,2,Candy crush,Not regular,Non Paid,10,Positive,Excited,Excited to complete level,Yes,No,Yes
25,Bachelor Level,Male,3.11,4.67,0,Mobile,1:00:00 AM,Yes,0,No,Not regular,Non Paid,5,Positive,Excited,Excited to complete level,Yes,Yes,No
22,Bachelor Level,Male,3.1,4.17,12,Mobile,12:00:00 AM,Yes,4,"PUBG, COC",Not regular,Paid,0,Positive,Excited,No feeling,No,Yes,Yes
21,Bachelor Level,Female,3,4.67,15,Mobile,12:00:00 AM,Yes,1,"PUBG, ",Not regular,Non Paid,3,Positive,Excited,No feeling,No,Yes,No
21,Bachelor Level,Female,3.7,5,20,Mobile,1:30:00 AM,Yes,1,Candy crush,Not regular,Non Paid,5,Positive,Excited,No feeling,Yes,Yes,Yes
24,Bachelor Level,Male,3.94,4.67,5,"Mobile, PC",12:01:00 AM,Yes,1,"FIFA, PUBG, COC, CALL OF DUTY",Not regular,Non Paid,10,No feelings ,Excited,No feeling,No,Yes,Yes
24,Bachelor Level,Male,2.8,4.2,14,"Mobile, PC",12:01:00 AM,Yes,1,"PES, CALL OF DUTY, GTA V, ",Not regular,Paid,3,Aright ,Excited,Excited to complete level,No,No,No
24,Bachelor Level,Male,3.1,4.08,18,Mobile,11:30:00 PM,Yes,2,Chess,Regular,Non Paid,2,Nothing ,Excited,No feeling,No,Yes,No
22,Bachelor Level,Female,3.9,5,14,Mobile,12:00:00 PM,Yes,1,Cooking fever,Not regular,Non Paid,4,Positive,Excited,No feeling,No,No,No
23,Bachelor Level,Male,3.73,4.08,18,Mobile,2:30:00 AM,Yes,3,FREE FIRE,Not regular,Non Paid,2,Upset,Excited,No feeling,No,Yes,No
22,Bachelor Level,Male,3,4.92,9,"Mobile, PC",3:30:00 AM,Yes,2,"PUBG, FREE FIRE, COC, IGA, CALL OF DUTY",Not regular,Non Paid,12,Positive,Bored,Excited to complete level,No,Yes,No
21,Bachelor Level,Male,3.25,4.92,19,Mobile,12:30:00 PM,Yes,3,PUBG,Not regular,Paid,2,Upset,Excited,Excited to complete level,No,Yes,No
21,Bachelor Level,Male,3.44,5,16,"Mobile, PC",2:00:00 AM,Yes,2,"FIFA, CALL OF DUTY",Not regular,Non Paid,8,Angry,Excited,Excited to complete level,No,Yes,Yes
22,Bachelor Level,Male,3.67,5,19,Mobile,2:00:00 AM,No,1,"FIFA, ",Not regular,Non Paid,0,Positive,Excited,Excited to complete level,Yes,No,No
23,Bachelor Level,Male,3.33,4.5,15,Mobile,12:30:00 AM,Yes,2,"PUBG, CALL OF DUTY",Regular,Non Paid,5,Positive,Excited,Excited to complete level,Yes,Yes,No
23,Bachelor Level,Male,4,5,10,PC,1:00:00 AM,No,3,"CALL OF DUTY, The Walking dead ",Not regular,Non Paid,7,Positive,Excited,Stressed,Yes,Yes,Yes
23,Bachelor Level,Male,4,5,10,PC,1:00:00 AM,No,3,"CALL OF DUTY, The Walking dead ",Not regular,Non Paid,8,Depressed,Excited,Stressed,Yes,Yes,Yes
22,Bachelor Level,Female,3.31,5,0,Mobile,1:00:00 AM,Yes,0,Nothing ,Not regular,Non Paid,2,Nothing ,Excited,No feeling,Yes,No,Yes
21,Bachelor Level,Female,3.89,5,14,Mobile,12:01:00 AM,Yes,1,Ludo,Regular,Non Paid,1,Upset,Excited,No feeling,No,Yes,Yes
23,Bachelor Level,Male,3,4.08,12,Mobile,12:00:00 AM,Yes,2,"PUBG, ",Not regular,Non Paid,3,Positive,Excited,Excited to complete level,Yes,No,No
22,Bachelor Level,Male,3.69,4.92,18,Mobile,8:00:00 AM,Yes,1,FREE FIRE,Not regular,Paid,6,Positive,Excited,Excited to complete level,No,Yes,No
24,Bachelor Level,Male,3.4,4.67,5,Mobile,1:02:00 AM,No,0,FIFA,Not regular,Non Paid,0,Upset,Excited,Excited to complete level,Yes,Yes,Yes
23,Bachelor Level,Male,3.56,5,16,PC,4:30:00 AM,No,4,Valorant ,Not regular,Non Paid,3,Positive,Excited,Excited to complete level,No,Yes,Yes
20,Bachelor Level,Female,3.95,5,15,Mobile,1:00:00 AM,Yes,1,Match three puzzle game,Not regular,Non Paid,6,No feeling ,Excited,No feeling,No,Yes,No
22,Bachelor Level,Male,4,5,15,Mobile,11:30:00 PM,Yes,1,"COC, ",Not regular,Non Paid,2,Upset,Excited,Excited to complete level,Yes,Yes,Yes
24,Master's Level,Male,3.52,4.58,9,"Mobile, PC",12:00:00 AM,Yes,1,"FIFA, PUBG, COC, ACE Fighter",Not regular,Non Paid,14,Not Bad,Excited,No feeling,Yes,Yes,No
18,Bachelor Level,Male,3.54,5,15,"Mobile, PC",1:00:00 PM,Yes,4,"PUBG, PES",Not regular,Non Paid,1,Positive,Excited,Excited to complete level,No,Yes,Yes
22,Bachelor Level,Male,3.7,5,15,PC,1:00:00 AM,Yes,1,FIFA,Not regular,Non Paid,5,Positive,Excited,No feeling,No,Yes,Yes
22,Bachelor Level,Male,3.57,4.75,8,"Mobile, PC",1:00:00 AM,No,2,"FIFA, PUBG, CALL OF DUTY",Not regular,Non Paid,10,Upset,Excited,Excited to complete level,Yes,Yes,No
24,Bachelor Level,Male,3.9,4.5,19,Mobile,11:00:00 AM,Yes,3,Vice city,Not regular,Non Paid,5,Positive,Excited,Excited to complete level,Yes,Yes,Yes
